id,class,order,family,genus,scientific_name,common_name,iucn_status,year,month,day,lat,long,x1_month_year,last_month_year,survey_duration,survey_frequency,road_id,road_length,road_lat_initial,road_long_initial,road_lat_final,road_long_final,reference_id
1,Mammalia,Carnivora,Felidae,Puma,Puma concolor,Puma,LC,2009,July,14,-23.055825,-46.997483,NA,NA,NA,NA,SP_330,NA,NA,NA,NA,NA,Adania_etal_2016
2,Mammalia,Carnivora,Felidae,Puma,Puma concolor,Puma,LC,2012,April,18,-23.219208,-46.912683,NA,NA,NA,NA,SP_348,NA,NA,NA,NA,NA,Adania_etal_2016
3,Mammalia,Carnivora,Canidae,Chrysocyon,Chrysocyon brachyurus,Maned Wolf,NT,2004,August,9,-15.59679,-47.608686,April_2004,August_2005,17,4,BR_020,NA,NA,NA,NA,NA,Bagatini_2006
4,Amphibia,Anura,Bufonidae,Rhinella,Rhinella dorbignyi,Sapito Jardín,LC,2005,March,18,-32.32736,-52.540555,January_2002,April_2006,52,3.7,BR_471,160.5,-32.948533,-52.774471,-31.746261,-52.407332,Bager_pers_comm
5,Amphibia,Anura,Bufonidae,Rhinella,Rhinella dorbignyi,Sapito Jardín,LC,2005,September,15,-31.923596,-52.314358,January_2002,April_2006,52,3.7,BR_471,160.5,-32.948533,-52.774471,-31.746261,-52.407332,Bager_pers_comm
6,Amphibia,Anura,Bufonidae,Rhinella,Rhinella dorbignyi,Sapito Jardín,LC,2005,September,15,-31.923596,-52.314358,January_2002,April_2006,52,3.7,BR_471,160.5,-32.948533,-52.774471,-31.746261,-52.407332,Bager_pers_comm
7,Amphibia,Anura,Bufonidae,Rhinella,Rhinella dorbignyi,Sapito Jardín,LC,2005,October,13,-31.816899,-52.324539,January_2002,April_2006,52,3.7,BR_471,160.5,-32.948533,-52.774471,-31.746261,-52.407332,Bager_pers_comm
8,Amphibia,Anura,Bufonidae,Rhinella,Rhinella dorbignyi,Sapito Jardín,LC,2005,October,13,-31.848494,-52.326777,January_2002,April_2006,52,3.7,BR_471,160.5,-32.948533,-52.774471,-31.746261,-52.407332,Bager_pers_comm
9,Amphibia,Anura,Bufonidae,Rhinella,Rhinella dorbignyi,Sapito Jardín,LC,2005,October,13,-32.402068,-52.558493,January_2002,April_2006,52,3.7,BR_471,160.5,-32.948533,-52.774471,-31.746261,-52.407332,Bager_pers_comm
10,Amphibia,Anura,Bufonidae,Rhinella,Rhinella dorbignyi,Sapito Jardín,LC,2005,October,26,-31.81016,-52.323693,January_2002,April_2006,52,3.7,BR_471,160.5,-32.948533,-52.774471,-31.746261,-52.407332,Bager_pers_comm
11,Amphibia,Anura,Bufonidae,Rhinella,Rhinella dorbignyi,Sapito Jardín,LC,2005,October,26,-31.812878,-52.327757,January_2002,April_2006,52,3.7,BR_471,160.5,-32.948533,-52.774471,-31.746261,-52.407332,Bager_pers_comm
12,Amphibia,Anura,Bufonidae,Rhinella,Rhinella dorbignyi,Sapito Jardín,LC,2005,October,26,-31.815559,-52.324129,January_2002,April_2006,52,3.7,BR_471,160.5,-32.948533,-52.774471,-31.746261,-52.407332,Bager_pers_comm
